,id,model,Datetime,point,path,isgood
1211,fd9595d17810d59c,Xiaomi Redmi Note 9 Pro | 10,2021-09-13 11:24:00,chest03,./audio_files/20210913-112454-fd9595d17810d59c-chest03.wav,0
436,17055ed87a4cf49b,HUAWEI ANE-LX1 | 8.0.0,2021-03-18 16:14:00,chest02,./audio_files/20210318-161442-17055ed87a4cf49b-chest02.wav,0
1120,4513434293a6952f,Xiaomi Redmi Note 9 Pro | 10,2021-08-23 12:42:00,spine03,./audio_files/20210823-124231-4513434293a6952f-spine03.wav,0
1312,e56a0cb1b234b74f,Xiaomi Redmi Note 9 Pro | 10,2021-09-16 11:59:00,spine04,./audio_files/20210916-115907-e56a0cb1b234b74f-spine04.wav,0
749,d4c194acbc9409d4,Xiaomi Redmi Note 9 Pro | 10,2021-06-15 13:34:00,chest03,./audio_files/20210615-133427-d4c194acbc9409d4-chest03.wav,0
1633,ab653d86132500fb,Xiaomi Redmi Note 9 Pro | 11,2021-12-01 13:59:00,spine05,./audio_files/20211201-135908-ab653d86132500fb-spine05.wav,0
1457,abbff4826ec9a3af,Xiaomi Redmi Note 9 Pro | 10,2021-11-02 14:24:00,spine03,./audio_files/20211102-142437-abbff4826ec9a3af-spine03.wav,2
53,a2ca3ce9c78b5993,HUAWEI ANE-LX1 | 8.0.0,2019-08-17 11:48:00,chest04,./audio_files/20190817-114816-a2ca3ce9c78b5993-chest04.wav,0
909,da0fcc13da246f60,Xiaomi Redmi Note 9 Pro | 10,2021-07-08 11:35:00,spine01,./audio_files/20210708-113555-da0fcc13da246f60-spine01.wav,0
1652,f6fd072eabe89daa,Xiaomi Redmi Note 9 Pro | 11,2021-12-01 14:49:00,spine04,./audio_files/20211201-144947-f6fd072eabe89daa-spine04.wav,1
777,8d635df439f74865,Xiaomi Redmi Note 9 Pro | 10,2021-07-01 12:49:00,chest01,./audio_files/20210701-124950-8d635df439f74865-chest01.wav,0
327,31b0ff49f91a0832,Xiaomi Mi A2 | 10,2021-01-18 11:20:00,chest03,./audio_files/20210118-112019-31b0ff49f91a0832-chest03.wav,0
316,014143ef87df8dfd,HUAWEI ANE-LX1 | 8.0.0,2021-01-12 16:38:00,spine03,./audio_files/20210112-163805-014143ef87df8dfd-spine03.wav,0
1667,42b540f65c13aa6f,Xiaomi Redmi Note 9 Pro | 11,2021-12-01 15:01:00,chest04,./audio_files/20211201-150148-42b540f65c13aa6f-chest04.wav,0
1578,2d60298dc35e5d47,Xiaomi Redmi Note 9 Pro | 11,2021-11-19 12:30:00,spine02,./audio_files/20211119-123049-2d60298dc35e5d47-spine02.wav,0
411,5564bfc42766a9a5,Xiaomi Mi A2 | 10,2021-03-08 14:05:00,chest04,./audio_files/20210308-140540-5564bfc42766a9a5-chest04.wav,0
1369,88fe162efde77c67,Xiaomi M2003J15SC | 10,2021-10-22 00:05:00,spine04,./audio_files/20211022-000528-88fe162efde77c67-spine04.wav,0
1278,764e8c267dd4f851,Xiaomi Redmi Note 9 Pro | 10,2021-09-15 11:03:00,spine03,./audio_files/20210915-110343-764e8c267dd4f851-spine03.wav,0
948,df18de26601028e4,Xiaomi Redmi Note 9 Pro | 10,2021-07-08 18:42:00,spine03,./audio_files/20210708-184205-df18de26601028e4-spine03.wav,0
214,2b8e0d0ee02e79ba,HUAWEI ANE-LX1 | 8.0.0,2019-09-28 12:33:00,spine06,./audio_files/20190928-123336-2b8e0d0ee02e79ba-spine06.wav,0
785,41fceeaa1fb3132d,Xiaomi Redmi Note 9 Pro | 10,2021-07-02 12:21:00,chest03,./audio_files/20210702-122120-41fceeaa1fb3132d-chest03.wav,0
830,8aa83d60ca20eef1,Xiaomi Redmi Note 9 Pro | 10,2021-07-05 10:59:00,chest03,./audio_files/20210705-105951-8aa83d60ca20eef1-chest03.wav,0
1610,d6dee9f2449ef9bb,Xiaomi Redmi Note 9 Pro | 11,2021-11-30 12:58:00,chest03,./audio_files/20211130-125837-d6dee9f2449ef9bb-chest03.wav,0
1249,b39956de9f91e13d,Xiaomi Redmi Note 9 Pro | 10,2021-09-14 10:35:00,chest01,./audio_files/20210914-103518-b39956de9f91e13d-chest01.wav,0
1119,4513434293a6952f,Xiaomi Redmi Note 9 Pro | 10,2021-08-23 12:42:00,spine02,./audio_files/20210823-124231-4513434293a6952f-spine02.wav,0
1205,49a6a00fe33fde3b,Xiaomi Redmi Note 9 Pro | 10,2021-09-13 11:21:00,spine02,./audio_files/20210913-112114-49a6a00fe33fde3b-spine02.wav,0
159,a74c346ff7b4e09f,HUAWEI ANE-LX1 | 8.0.0,2019-09-12 16:04:00,chest02,./audio_files/20190912-160444-a74c346ff7b4e09f-chest02.wav,0
819,8a17cf7da9bc16a2,Xiaomi Redmi Note 9 Pro | 10,2021-07-05 10:23:00,spine01,./audio_files/20210705-102320-8a17cf7da9bc16a2-spine01.wav,0
232,ae70be5eb9f8e964,Xiaomi Mi A2 | 9,2020-03-05 10:23:00,chest01,./audio_files/20200305-102306-ae70be5eb9f8e964-chest01.wav,0
1500,8c61bc763553fd83,Xiaomi Redmi Note 9 Pro | 10,2021-11-17 12:51:00,spine01,./audio_files/20211117-125113-8c61bc763553fd83-spine01.wav,0
1424,042915863731067b,Xiaomi Redmi Note 9 Pro | 11,2021-11-01 14:09:00,spine01,./audio_files/20211101-140947-042915863731067b-spine01.wav,0
1673,42b540f65c13aa6f,Xiaomi Redmi Note 9 Pro | 11,2021-12-01 15:01:00,spine05,./audio_files/20211201-150148-42b540f65c13aa6f-spine05.wav,0
720,5b6ba4b4d8e12011,Xiaomi Mi A2 | 10,2021-06-04 12:47:00,spine04,./audio_files/20210604-124756-5b6ba4b4d8e12011-spine04.wav,0
168,448bed3e742fa94f,HUAWEI ANE-LX1 | 8.0.0,2019-09-12 16:12:00,chest01,./audio_files/20190912-161215-448bed3e742fa94f-chest01.wav,0
1440,7a27d0121181a999,Xiaomi Mi A2 | 10,2021-11-01 18:40:00,spine03,./audio_files/20211101-184018-7a27d0121181a999-spine03.wav,1
1132,a1dfb8da6b7f7926,Xiaomi Redmi Note 9 Pro | 10,2021-08-24 10:18:00,chest04,./audio_files/20210824-101851-a1dfb8da6b7f7926-chest04.wav,0
1713,83056628c8711f0a,Xiaomi Redmi Note 9 Pro | 10,2021-12-06 11:52:00,chest03,./audio_files/20211206-115244-83056628c8711f0a-chest03.wav,0
323,5f1c5187f33b19a6,Xiaomi Mi A2 | 10,2021-01-15 11:10:00,chest03,./audio_files/20210115-111002-5f1c5187f33b19a6-chest03.wav,0
93,e59e3a2818af008c,HUAWEI ANE-LX1 | 8.0.0,2019-08-27 14:35:00,chest04,./audio_files/20190827-143528-e59e3a2818af008c-chest04.wav,0
1505,df6a8705fac7c6a9,Xiaomi Redmi Note 9 Pro | 10,2021-11-17 13:18:00,chest04,./audio_files/20211117-131818-df6a8705fac7c6a9-chest04.wav,2
843,159fb9bc0125ec8d,Xiaomi Redmi Note 9 Pro | 10,2021-07-05 11:05:00,spine06,./audio_files/20210705-110527-159fb9bc0125ec8d-spine06.wav,0
1577,2d60298dc35e5d47,Xiaomi Redmi Note 9 Pro | 11,2021-11-19 12:30:00,chest04,./audio_files/20211119-123049-2d60298dc35e5d47-chest04.wav,0
329,52250f4657900fc2,Xiaomi Mi A2 | 10,2021-01-25 16:46:00,chest01,./audio_files/20210125-164621-52250f4657900fc2-chest01.wav,0
428,70c1ce00e5f9fa94,HUAWEI ANE-LX1 | 8.0.0,2021-03-18 16:08:00,chest01,./audio_files/20210318-160838-70c1ce00e5f9fa94-chest01.wav,0
23,abc84c056a3ecf9d,HUAWEI ANE-LX1 | 8.0.0,2019-08-15 15:03:00,chest04,./audio_files/20190815-150320-abc84c056a3ecf9d-chest04.wav,0
237,13e177541e7ebb1a,Xiaomi Mi A2 | 9,2020-03-10 13:01:00,chest03,./audio_files/20200310-130113-13e177541e7ebb1a-chest03.wav,0
1575,2d60298dc35e5d47,Xiaomi Redmi Note 9 Pro | 11,2021-11-19 12:30:00,chest02,./audio_files/20211119-123049-2d60298dc35e5d47-chest02.wav,0
901,bec20fb2641fc057,Xiaomi Redmi Note 9 Pro | 10,2021-07-08 11:34:00,spine03,./audio_files/20210708-113425-bec20fb2641fc057-spine03.wav,0
1586,78633fe38950f24b,Xiaomi Redmi Note 9 Pro | 11,2021-11-29 12:48:00,spine02,./audio_files/20211129-124812-78633fe38950f24b-spine02.wav,0
1748,c86f6f145f8111af,Xiaomi Redmi Note 9 Pro | 10,2021-12-09 15:23:00,chest02,./audio_files/20211209-152351-c86f6f145f8111af-chest02.wav,0
967,9e4c1678022d7e3a,Xiaomi Redmi Note 9 Pro | 10,2021-07-08 18:52:00,chest01,./audio_files/20210708-185236-9e4c1678022d7e3a-chest01.wav,1
564,b52431b003b7bb06,HUAWEI ANE-LX1 | 8.0.0,2021-05-03 13:42:00,spine04,./audio_files/20210503-134235-b52431b003b7bb06-spine04.wav,0
1690,3e3218fc8d13526b,Xiaomi Redmi Note 9 Pro | 11,2021-12-02 12:24:00,spine06,./audio_files/20211202-122433-3e3218fc8d13526b-spine06.wav,0
359,3925b84b94782590,Xiaomi Mi A2 | 10,2021-02-20 12:31:00,chest03,./audio_files/20210220-123155-3925b84b94782590-chest03.wav,2
842,159fb9bc0125ec8d,Xiaomi Redmi Note 9 Pro | 10,2021-07-05 11:05:00,spine01,./audio_files/20210705-110527-159fb9bc0125ec8d-spine01.wav,0
268,9c5cb53941994489,HUAWEI ANE-LX1 | 8.0.0,2020-08-27 13:13:00,spine03,./audio_files/20200827-131320-9c5cb53941994489-spine03.wav,0
696,969d1e890976d113,Xiaomi Mi A2 | 10,2021-06-03 12:44:00,chest04,./audio_files/20210603-124426-969d1e890976d113-chest04.wav,0
781,8d635df439f74865,Xiaomi Redmi Note 9 Pro | 10,2021-07-01 12:49:00,spine02,./audio_files/20210701-124950-8d635df439f74865-spine02.wav,0
220,f8c7b8c0729977f5,HUAWEI ANE-LX1 | 8.0.0,2019-09-28 12:41:00,chest04,./audio_files/20190928-124122-f8c7b8c0729977f5-chest04.wav,0
721,6dabc6a62995d69f,Xiaomi Mi A2 | 10,2021-06-07 11:57:00,chest01,./audio_files/20210607-115700-6dabc6a62995d69f-chest01.wav,0
738,e2dbece695e619c9,Xiaomi Mi A2 | 10,2021-06-07 12:11:00,spine04,./audio_files/20210607-121141-e2dbece695e619c9-spine04.wav,0
1246,7e6d2038a94e58e0,Xiaomi Redmi Note 9 Pro | 10,2021-09-14 10:33:00,spine03,./audio_files/20210914-103309-7e6d2038a94e58e0-spine03.wav,0
879,15bf4d14f28fea44,Xiaomi Redmi Note 9 Pro | 10,2021-07-07 12:41:00,chest01,./audio_files/20210707-124145-15bf4d14f28fea44-chest01.wav,0
432,70c1ce00e5f9fa94,HUAWEI ANE-LX1 | 8.0.0,2021-03-18 16:08:00,spine03,./audio_files/20210318-160838-70c1ce00e5f9fa94-spine03.wav,0
755,c595452dd49fd4be,Xiaomi Redmi Note 9 Pro | 10,2021-06-29 09:55:00,chest02,./audio_files/20210629-095503-c595452dd49fd4be-chest02.wav,0
111,3699c6dc9046a0f0,HUAWEI ANE-LX1 | 8.0.0,2019-08-27 14:46:00,chest03,./audio_files/20190827-144638-3699c6dc9046a0f0-chest03.wav,0
602,778a4d8534e42ddf,Xiaomi Redmi Note 9 Pro | 10,2021-05-18 10:08:00,chest03,./audio_files/20210518-100844-778a4d8534e42ddf-chest03.wav,0
1668,42b540f65c13aa6f,Xiaomi Redmi Note 9 Pro | 11,2021-12-01 15:01:00,spine02,./audio_files/20211201-150148-42b540f65c13aa6f-spine02.wav,0
1521,ef97c6e5c3e6f321,Xiaomi Redmi Note 9 Pro | 10,2021-11-17 14:45:00,chest04,./audio_files/20211117-144541-ef97c6e5c3e6f321-chest04.wav,0
1316,b378220c430caf3c,Xiaomi Redmi Note 9 Pro | 10,2021-09-16 12:58:00,chest04,./audio_files/20210916-125855-b378220c430caf3c-chest04.wav,0
434,70c1ce00e5f9fa94,HUAWEI ANE-LX1 | 8.0.0,2021-03-18 16:08:00,spine05,./audio_files/20210318-160838-70c1ce00e5f9fa94-spine05.wav,0
132,466a8f937ef9285f,HUAWEI ANE-LX1 | 8.0.0,2019-09-09 16:21:00,spine02,./audio_files/20190909-162139-466a8f937ef9285f-spine02.wav,0
123,21da888c2db0925b,HUAWEI ANE-LX1 | 8.0.0,2019-08-27 14:52:00,spine03,./audio_files/20190827-145201-21da888c2db0925b-spine03.wav,0
622,6f4d4122d433cc04,Xiaomi Redmi Note 9 Pro | 10,2021-05-19 12:13:00,chest03,./audio_files/20210519-121339-6f4d4122d433cc04-chest03.wav,0
404,7f966b573d583b6d,Xiaomi Mi A2 | 10,2021-03-08 14:02:00,chest01,./audio_files/20210308-140251-7f966b573d583b6d-chest01.wav,0
442,d5f0d5bbc2090ade,Xiaomi Redmi Note 9 Pro | 10,2021-03-25 14:45:00,chest04,./audio_files/20210325-144513-d5f0d5bbc2090ade-chest04.wav,0
618,9ba6581ed461cd5f,Xiaomi Redmi Note 9 Pro | 10,2021-05-18 10:28:00,spine04,./audio_files/20210518-102853-9ba6581ed461cd5f-spine04.wav,0
1527,6bc558da2b7368bb,Xiaomi Redmi Note 9 Pro | 10,2021-11-17 15:13:00,chest02,./audio_files/20211117-151358-6bc558da2b7368bb-chest02.wav,0
1377,838f08a7afc00923,Xiaomi Redmi Note 9 Pro | 10,2021-10-25 12:17:00,spine01,./audio_files/20211025-121721-838f08a7afc00923-spine01.wav,2
1390,0657eaa451ac2742,Xiaomi Redmi Note 9 Pro | 10,2021-10-29 10:07:00,chest04,./audio_files/20211029-100738-0657eaa451ac2742-chest04.wav,2
880,15bf4d14f28fea44,Xiaomi Redmi Note 9 Pro | 10,2021-07-07 12:41:00,chest02,./audio_files/20210707-124145-15bf4d14f28fea44-chest02.wav,0
628,f0305807be4e4d26,Xiaomi Redmi Note 9 Pro | 10,2021-05-20 09:09:00,chest01,./audio_files/20210520-090943-f0305807be4e4d26-chest01.wav,0
1164,b3e49305261dd693,Xiaomi Redmi Note 9 Pro | 10,2021-08-30 11:05:00,spine03,./audio_files/20210830-110521-b3e49305261dd693-spine03.wav,0
1124,5a230ba61621abdb,Xiaomi Redmi Note 9 Pro | 10,2021-08-23 13:41:00,chest04,./audio_files/20210823-134106-5a230ba61621abdb-chest04.wav,0
894,a199102f276f1f05,Xiaomi Redmi Note 9 Pro | 10,2021-07-07 12:46:00,spine04,./audio_files/20210707-124650-a199102f276f1f05-spine04.wav,0
498,e8e1fbb1f6277344,HUAWEI ANE-LX1 | 8.0.0,2021-04-20 11:40:00,spine05,./audio_files/20210420-114014-e8e1fbb1f6277344-spine05.wav,0
1679,f60fd2803c4d0b9b,Xiaomi Redmi Note 9 Pro | 11,2021-12-01 15:07:00,spine03,./audio_files/20211201-150728-f60fd2803c4d0b9b-spine03.wav,0
173,448bed3e742fa94f,HUAWEI ANE-LX1 | 8.0.0,2019-09-12 16:12:00,spine03,./audio_files/20190912-161215-448bed3e742fa94f-spine03.wav,0
1503,df6a8705fac7c6a9,Xiaomi Redmi Note 9 Pro | 10,2021-11-17 13:18:00,chest02,./audio_files/20211117-131818-df6a8705fac7c6a9-chest02.wav,0
102,9b4c2956e6d4aa4e,HUAWEI ANE-LX1 | 8.0.0,2019-08-27 14:41:00,chest04,./audio_files/20190827-144115-9b4c2956e6d4aa4e-chest04.wav,0
155,aed7fce4a0241a6c,HUAWEI ANE-LX1 | 8.0.0,2019-09-12 15:57:00,spine06,./audio_files/20190912-155751-aed7fce4a0241a6c-spine06.wav,0
670,fd0d9ba14e3fb2f9,Xiaomi Redmi Note 9 Pro | 10,2021-06-02 12:52:00,chest02,./audio_files/20210602-125246-fd0d9ba14e3fb2f9-chest02.wav,0
866,18397d7150969f0d,Xiaomi Redmi Note 9 Pro | 10,2021-07-06 11:40:00,chest04,./audio_files/20210706-114020-18397d7150969f0d-chest04.wav,0
492,e8e1fbb1f6277344,HUAWEI ANE-LX1 | 8.0.0,2021-04-20 11:40:00,chest04,./audio_files/20210420-114014-e8e1fbb1f6277344-chest04.wav,0
1366,88fe162efde77c67,Xiaomi M2003J15SC | 10,2021-10-22 00:05:00,spine03,./audio_files/20211022-000528-88fe162efde77c67-spine03.wav,0
161,a74c346ff7b4e09f,HUAWEI ANE-LX1 | 8.0.0,2019-09-12 16:04:00,chest04,./audio_files/20190912-160444-a74c346ff7b4e09f-chest04.wav,0
537,f81602ad1c6359fb,Xiaomi Redmi Note 9 Pro | 10,2021-04-26 15:06:00,chest04,./audio_files/20210426-150615-f81602ad1c6359fb-chest04.wav,0
1588,78633fe38950f24b,Xiaomi Redmi Note 9 Pro | 11,2021-11-29 12:48:00,spine01,./audio_files/20211129-124812-78633fe38950f24b-spine01.wav,0
884,15bf4d14f28fea44,Xiaomi Redmi Note 9 Pro | 10,2021-07-07 12:41:00,spine03,./audio_files/20210707-124145-15bf4d14f28fea44-spine03.wav,0
795,d6b78c5a77366a66,Xiaomi Redmi Note 9 Pro | 10,2021-07-02 12:38:00,spine03,./audio_files/20210702-123857-d6b78c5a77366a66-spine03.wav,0
1519,ef97c6e5c3e6f321,Xiaomi Redmi Note 9 Pro | 10,2021-11-17 14:45:00,chest02,./audio_files/20211117-144541-ef97c6e5c3e6f321-chest02.wav,0
1237,3b59a3c192f870d6,Xiaomi Redmi Note 9 Pro | 10,2021-09-14 10:23:00,spine02,./audio_files/20210914-102332-3b59a3c192f870d6-spine02.wav,0
40,606d97058c1bb8ee,samsung SM-A605FN | 8.0.0,2019-08-16 12:11:00,chest01,./audio_files/20190816-121120-606d97058c1bb8ee-chest01.wav,0
222,f8c7b8c0729977f5,HUAWEI ANE-LX1 | 8.0.0,2019-09-28 12:41:00,spine03,./audio_files/20190928-124122-f8c7b8c0729977f5-spine03.wav,0
1597,433f508bfb069581,Xiaomi Redmi Note 9 Pro | 11,2021-11-29 13:04:00,spine01,./audio_files/20211129-130401-433f508bfb069581-spine01.wav,0
261,f18819e0d367a895,samsung SM-A605FN | 10,2020-08-26 11:11:00,spine06,./audio_files/20200826-111135-f18819e0d367a895-spine06.wav,0
874,42ac2bc24987aee7,Xiaomi Redmi Note 9 Pro | 10,2021-07-06 11:52:00,chest04,./audio_files/20210706-115238-42ac2bc24987aee7-chest04.wav,0
865,18397d7150969f0d,Xiaomi Redmi Note 9 Pro | 10,2021-07-06 11:40:00,chest03,./audio_files/20210706-114020-18397d7150969f0d-chest03.wav,0
235,13e177541e7ebb1a,Xiaomi Mi A2 | 9,2020-03-10 13:01:00,chest01,./audio_files/20200310-130113-13e177541e7ebb1a-chest01.wav,0
1654,d3fdecdee9be6327,Xiaomi Redmi Note 9 Pro | 11,2021-12-01 14:54:00,chest01,./audio_files/20211201-145455-d3fdecdee9be6327-chest01.wav,0
793,d6b78c5a77366a66,Xiaomi Redmi Note 9 Pro | 10,2021-07-02 12:38:00,chest04,./audio_files/20210702-123857-d6b78c5a77366a66-chest04.wav,0
1494,8c61bc763553fd83,Xiaomi Redmi Note 9 Pro | 10,2021-11-17 12:51:00,chest01,./audio_files/20211117-125113-8c61bc763553fd83-chest01.wav,2
1262,ed47ef6bd436003c,Xiaomi Redmi Note 9 Pro | 10,2021-09-14 11:00:00,spine03,./audio_files/20210914-110044-ed47ef6bd436003c-spine03.wav,0
213,2b8e0d0ee02e79ba,HUAWEI ANE-LX1 | 8.0.0,2019-09-28 12:33:00,spine01,./audio_files/20190928-123336-2b8e0d0ee02e79ba-spine01.wav,0
1327,7e47c5ae6034a1a3,Xiaomi Redmi Note 9 Pro | 10,2021-10-05 09:56:00,spine01,./audio_files/20211005-095645-7e47c5ae6034a1a3-spine01.wav,0
1174,0b2ed324d906c529,Xiaomi Redmi Note 9 Pro | 10,2021-09-10 11:12:00,spine03,./audio_files/20210910-111217-0b2ed324d906c529-spine03.wav,0
718,5b6ba4b4d8e12011,Xiaomi Mi A2 | 10,2021-06-04 12:47:00,spine03,./audio_files/20210604-124756-5b6ba4b4d8e12011-spine03.wav,2
1541,fbadfe1bfd7877e1,Xiaomi Redmi Note 9 Pro | 10,2021-11-17 15:34:00,spine04,./audio_files/20211117-153417-fbadfe1bfd7877e1-spine04.wav,2
3,1da9189c64909401,samsung SM-A605FN | 8.0.0,2019-08-15 08:49:00,chest02,./audio_files/20190815-084903-1da9189c64909401-chest02.wav,0
296,a6a9f6fa3d1d1a33,samsung SM-A605FN | 10,2020-09-17 10:53:00,spine05,./audio_files/20200917-105317-a6a9f6fa3d1d1a33-spine05.wav,0
270,9c5cb53941994489,HUAWEI ANE-LX1 | 8.0.0,2020-08-27 13:13:00,spine06,./audio_files/20200827-131320-9c5cb53941994489-spine06.wav,0
787,41fceeaa1fb3132d,Xiaomi Redmi Note 9 Pro | 10,2021-07-02 12:21:00,spine02,./audio_files/20210702-122120-41fceeaa1fb3132d-spine02.wav,0
1460,5735d2cd9fe961fc,Xiaomi Mi A2 | 10,2021-11-03 13:36:00,chest02,./audio_files/20211103-133644-5735d2cd9fe961fc-chest02.wav,0
77,b8715e18c465d450,samsung SM-A605FN | 8.0.0,2019-08-20 08:25:00,spine06,./audio_files/20190820-082529-b8715e18c465d450-spine06.wav,0
961,af75e4b4522fedee,Xiaomi Redmi Note 9 Pro | 10,2021-07-08 18:51:00,chest03,./audio_files/20210708-185109-af75e4b4522fedee-chest03.wav,1
1056,5db8cab9cfd88c21,Xiaomi Redmi Note 9 Pro | 10,2021-07-13 15:45:00,chest04,./audio_files/20210713-154545-5db8cab9cfd88c21-chest04.wav,1
1090,297cfbbcc95f1193,Xiaomi Redmi Note 9 Pro | 10,2021-07-13 16:09:00,spine01,./audio_files/20210713-160900-297cfbbcc95f1193-spine01.wav,1
224,f8c7b8c0729977f5,HUAWEI ANE-LX1 | 8.0.0,2019-09-28 12:41:00,spine06,./audio_files/20190928-124122-f8c7b8c0729977f5-spine06.wav,0
1634,140f57f9aebf5f07,Xiaomi Redmi Note 9 Pro | 11,2021-12-01 14:06:00,chest01,./audio_files/20211201-140621-140f57f9aebf5f07-chest01.wav,0
1219,af83f4caf7628298,Xiaomi Redmi Note 9 Pro | 10,2021-09-13 12:57:00,chest03,./audio_files/20210913-125710-af83f4caf7628298-chest03.wav,0
1648,f6fd072eabe89daa,Xiaomi Redmi Note 9 Pro | 11,2021-12-01 14:49:00,spine02,./audio_files/20211201-144947-f6fd072eabe89daa-spine02.wav,1
342,70db59dad71eecf1,Xiaomi Mi A2 | 10,2021-02-03 15:01:00,chest02,./audio_files/20210203-150120-70db59dad71eecf1-chest02.wav,0
115,3699c6dc9046a0f0,HUAWEI ANE-LX1 | 8.0.0,2019-08-27 14:46:00,spine01,./audio_files/20190827-144638-3699c6dc9046a0f0-spine01.wav,0
28,abc84c056a3ecf9d,HUAWEI ANE-LX1 | 8.0.0,2019-08-15 15:03:00,spine04,./audio_files/20190815-150320-abc84c056a3ecf9d-spine04.wav,0
1066,9a06860ae58fc177,Xiaomi Redmi Note 9 Pro | 10,2021-07-13 15:50:00,spine03,./audio_files/20210713-155013-9a06860ae58fc177-spine03.wav,0
0,e70516a491f41f9d,samsung SM-A605FN | 8.0.0,2019-08-14 22:00:00,chest03,./audio_files/20190814-220020-e70516a491f41f9d-chest03.wav,0
284,1e73e204813be7fb,samsung SM-A605FN | 10,2020-09-11 09:07:00,spine04,./audio_files/20200911-090739-1e73e204813be7fb-spine04.wav,0
15,d97d34cffad6f248,samsung SM-A605FN | 8.0.0,2019-08-15 09:34:00,spine02,./audio_files/20190815-093447-d97d34cffad6f248-spine02.wav,0
1254,b39956de9f91e13d,Xiaomi Redmi Note 9 Pro | 10,2021-09-14 10:35:00,spine03,./audio_files/20210914-103518-b39956de9f91e13d-spine03.wav,0
258,fbeb9d93a918a852,samsung SM-A605FN | 10,2020-08-26 10:47:00,chest01,./audio_files/20200826-104734-fbeb9d93a918a852-chest01.wav,0
475,1d48161e9f713b78,Xiaomi Mi A2 | 10,2021-04-06 10:56:00,spine02,./audio_files/20210406-105619-1d48161e9f713b78-spine02.wav,2
1267,34df4c17cc1ac7e5,Xiaomi Redmi Note 9 Pro | 10,2021-09-15 10:58:00,chest03,./audio_files/20210915-105841-34df4c17cc1ac7e5-chest03.wav,0
1155,ee6b818aedab8cb9,Xiaomi Redmi Note 9 Pro | 10,2021-08-30 11:03:00,chest03,./audio_files/20210830-110356-ee6b818aedab8cb9-chest03.wav,0
1739,246d21df2f395357,Xiaomi Redmi Note 9 Pro | 11,2021-12-08 14:03:00,chest03,./audio_files/20211208-140322-246d21df2f395357-chest03.wav,0
551,fc907f84f39fb996,Xiaomi Redmi Note 9 Pro | 10,2021-04-28 14:44:00,chest04,./audio_files/20210428-144427-fc907f84f39fb996-chest04.wav,0
1261,ed47ef6bd436003c,Xiaomi Redmi Note 9 Pro | 10,2021-09-14 11:00:00,spine02,./audio_files/20210914-110044-ed47ef6bd436003c-spine02.wav,0
420,13ff6eb95eb2ab9a,Xiaomi Mi A2 | 10,2021-03-08 14:39:00,chest01,./audio_files/20210308-143905-13ff6eb95eb2ab9a-chest01.wav,0
178,5c559c7e3f1757a7,HUAWEI ANE-LX1 | 8.0.0,2019-09-14 10:29:00,chest01,./audio_files/20190914-102916-5c559c7e3f1757a7-chest01.wav,0
